,weight,age,height
54734,77,38.0,165.1
93988,72,47.0,177.8
26497,54,28.0,157.48
89294,63,43.0,162.56
99168,52,36.0,162.56
8453,61,33.0,175.26
747,61,32.0,170.18
42848,58,30.0,162.56
74886,74,42.0,170.18
18822,61,31.0,167.64
75021,51,34.0,154.94
109806,68,31.0,162.56
54668,59,30.0,167.64
87413,58,36.0,160.02
52656,49,28.0,154.94
47425,70,28.0,175.26
42967,61,39.0,165.1
12501,65,31.0,172.72
111,63,31.0,175.26
94321,61,33.0,162.56
87752,65,33.0,177.8
9126,68,34.0,172.72
93076,82,53.0,167.64
64177,57,21.0,162.56
119224,56,35.0,160.02
47514,68,48.0,172.72
24363,53,25.0,154.94
94515,74,36.0,165.1
34391,63,33.0,170.18
87499,50,35.0,160.02
57531,64,41.0,175.26
115899,63,25.0,177.8
35379,56,30.0,170.18
27524,68,35.0,162.56
82234,61,42.0,157.48
74475,63,34.0,165.1
78189,58,37.0,167.64
111021,86,56.0,160.02
35250,56,33.0,157.48
72189,49,37.0,157.48
12814,52,31.0,162.56
78012,68,42.0,167.64
71385,54,29.0,165.1
3113,49,29.0,149.86
58688,68,26.0,157.48
101713,61,31.0,170.18
29354,65,30.0,160.02
106654,70,45.0,165.1
91389,68,44.0,175.26
72137,53,30.0,162.56
74477,63,27.0,160.02
81827,56,29.0,162.56
90662,54,28.0,165.1
556,54,28.0,167.64
94464,61,43.0,165.1
81917,47,29.0,162.56
94851,77,35.0,172.72
109895,63,35.0,167.64
100523,83,33.0,170.18
14878,58,38.0,154.94
55151,52,29.0,170.18
5544,52,29.0,152.4
49442,56,55.0,165.1
28001,63,41.0,162.56
28014,49,38.0,149.86
73381,56,30.0,162.56
97178,72,33.0,154.94
37423,56,29.0,165.1
20115,61,34.0,170.18
87347,45,33.0,162.56
100194,54,42.0,157.48
115469,88,31.0,167.64
70058,61,30.0,180.34
55867,61,27.0,160.02
87844,58,29.0,165.1
91903,65,26.0,172.72
97397,63,31.0,165.1
59984,53,33.0,154.94
52968,54,27.0,172.72
108396,55,29.0,170.18
21175,60,38.0,160.02
2990,67,28.0,170.18
16355,63,37.0,160.02
81017,52,33.0,165.1
97901,48,51.0,157.48
57603,58,30.0,170.18
110137,58,32.0,172.72
65886,54,41.0,162.56
27056,63,30.0,170.18
48677,58,35.0,157.48
86459,52,26.0,162.56
56065,81,31.0,165.1
48377,76,63.0,162.56
54167,66,34.0,162.56
114447,57,36.0,175.26
102223,54,29.0,165.1
36875,63,28.0,172.72
77754,55,35.0,162.56
26703,61,24.0,160.02
108211,63,28.0,175.26
4765,74,46.0,172.72
83624,43,32.0,157.48
95353,72,29.0,170.18
89111,65,30.0,165.1
46859,61,34.0,165.1
34673,53,32.0,160.02
32098,56,40.0,172.72
74284,53,26.0,167.64
29211,61,65.0,162.56
51077,54,35.0,165.1
89558,106,30.0,160.02
85087,90,33.0,170.18
101317,53,30.0,160.02
14219,58,48.0,167.64
96255,58,33.0,167.64
61750,56,31.0,165.1
51490,56,38.0,170.18
1185,55,39.0,157.48
116019,63,25.0,165.1
66767,95,33.0,165.1
18604,77,44.0,165.1
117910,67,35.0,172.72
30885,48,32.0,167.64
63254,65,42.0,162.56
90386,51,48.0,170.18
94337,69,24.0,162.56
94184,56,34.0,157.48
92668,53,34.0,160.02
77562,58,27.0,167.64
22452,58,33.0,172.72
38822,52,38.0,170.18
83605,53,48.0,160.02
102844,63,33.0,167.64
7624,55,29.0,165.1
43231,52,38.0,162.56
68765,74,34.0,180.34
107714,56,51.0,165.1
40821,61,34.0,165.1
84126,52,21.0,165.1
118277,62,57.0,162.56
85173,72,29.0,167.64
54887,70,46.0,162.56
44042,52,48.0,162.56
6789,72,53.0,167.64
19198,70,38.0,162.56
37940,56,29.0,162.56
36598,63,25.0,177.8
15002,58,21.0,167.64
14265,55,26.0,152.4
70881,56,28.0,165.1
75895,56,26.0,162.56
111264,61,31.0,167.64
30589,68,33.0,172.72
64658,61,30.0,170.18
82239,58,29.0,160.02
101683,68,30.0,160.02
109708,49,30.0,157.48
16903,52,18.0,152.4
9871,52,26.0,162.56
84704,61,26.0,167.64
61598,56,29.0,165.1
50848,61,26.0,170.18
45696,55,26.0,170.18
30352,68,29.0,157.48
65743,58,45.0,172.72
105414,65,22.0,167.64
65938,65,29.0,157.48
115949,81,33.0,165.1
34850,56,26.0,162.56
20385,68,28.0,175.26
2538,63,27.0,167.64
31504,69,24.0,177.8
19113,47,40.0,152.4
80691,106,40.0,170.18
14718,63,28.0,162.56
55262,58,30.0,162.56
35329,65,25.0,160.02
79217,54,29.0,157.48
101929,61,32.0,172.72
7377,63,31.0,165.1
40344,68,21.0,175.26
109836,56,34.0,165.1
6112,63,33.0,162.56
56658,52,29.0,160.02
66628,58,27.0,160.02
20857,58,30.0,160.02
51457,58,52.0,172.72
109092,65,30.0,167.64
7407,56,26.0,170.18
107247,90,31.0,172.72
17957,50,23.0,157.48
52145,54,23.0,170.18
57339,60,29.0,180.34
901,61,25.0,160.02
55309,62,29.0,154.94
93970,48,40.0,162.56
48679,61,30.0,167.64
58744,48,25.0,157.48
28420,53,38.0,162.56
80241,58,37.0,172.72
117499,61,29.0,165.1
4941,52,31.0,162.56
55371,72,27.0,175.26
117960,53,56.0,170.18
113199,65,33.0,157.48
102783,49,28.0,154.94
28078,77,36.0,162.56
52528,48,27.0,157.48
66833,49,38.0,157.48
4516,90,33.0,165.1
115510,70,31.0,167.64
916,56,31.0,157.48
70509,63,42.0,167.64
115433,68,34.0,177.8
26042,71,29.0,165.1
49433,57,29.0,165.1
27966,56,30.0,167.64
16774,63,35.0,167.64
76109,63,31.0,167.64
77851,54,28.0,160.02
62239,54,35.0,157.48
57893,63,31.0,165.1
64076,68,31.0,160.02
45857,63,40.0,175.26
104468,70,23.0,165.1
62305,61,27.0,165.1
88422,63,31.0,172.72
107027,74,28.0,160.02
24116,83,22.0,177.8
75022,57,33.0,170.18
26031,45,30.0,167.64
40590,52,45.0,154.94
60714,62,27.0,160.02
111473,49,26.0,160.02
99023,54,31.0,170.18
74056,68,27.0,182.88
97049,58,32.0,167.64
68123,48,34.0,157.48
111179,88,57.0,182.88
36643,53,38.0,165.1
678,58,35.0,165.1
94906,72,31.0,180.34
57140,58,29.0,167.64
85069,53,35.0,154.94
46336,45,34.0,149.86
30803,61,36.0,172.72
109035,54,21.0,167.64
67728,65,19.0,160.02
103111,70,39.0,165.1
88300,51,54.0,165.1
6074,56,32.0,170.18
95053,52,24.0,170.18
35191,61,30.0,170.18
81702,54,42.0,160.02
98141,83,63.0,185.42
39363,55,42.0,172.72
91613,72,53.0,172.72
30448,58,34.0,170.18
113544,77,44.0,177.8
93607,58,30.0,175.26
82413,61,29.0,177.8
13131,74,46.0,172.72
73593,68,51.0,170.18
112954,69,44.0,167.64
96951,65,43.0,167.64
49458,61,23.0,170.18
10979,58,34.0,167.64
107710,51,20.0,160.02
